fuel,fuel1,fuel2,brake power ,heat power ,efficiency
,29.072,8.7216,4.16,18.87373621,22.04121088
,32.508,9.7524,4.16,21.10441032,19.71151971
,27.12,8.136,4.16,17.6064848,23.62765792
,,,,,
,,,,,
METHANOL 40,28.18,11.272,4.16,19.02356653,21.86761348
,27.43,10.972,4.16,18.51726153,22.4655249
,41.24,16.496,4.16,27.84002427,14.94251571
,26.28,10.512,4.16,17.7409272,23.44860532
,33.83,13.532,4.16,22.83773087,18.21546994
,27.756,11.1024,4.16,18.73733544,22.20166263
,26.955,10.782,4.16,18.1966017,22.86141153
,28.042,11.2168,4.16,18.93040641,21.97522816
,35.945,14.378,4.16,24.26551097,17.14367361
,30.807,12.3228,4.16,20.79698418,20.00290025
,25.935,10.374,4.16,17.5080269,23.76053009
,33.264,13.3056,4.16,22.45563936,18.5254133
,29.072,11.6288,4.16,19.62573195,21.19666166
,32.508,13.0032,4.16,21.94528392,18.95623686
,27.12,10.848,4.16,18.3079888,22.72232109
,25.935,10.374,4.16,17.5080269,23.76053009
,,,,,
COCO 10,28.18,2.818,4.16,17.70240406,23.49963307
,41.24,4.124,4.16,25.90657003,16.05770272
,33.83,3.383,4.16,21.25167954,19.57492344
,27.756,2.7756,4.16,17.43605135,23.85861291
,28.042,2.8042,4.16,17.61571379,23.61527922
,35.945,3.5945,4.16,22.58030213,18.42313702
,30.807,3.0807,4.16,19.35266011,21.49575291
,33.264,3.3264,4.16,20.8961238,19.90799844
,29.072,2.9072,4.16,18.26274986,22.77860691
,32.508,3.2508,4.16,20.4212119,20.37097514
,,,,,
COCO 20,28.18,5.636,4.16,19.29693226,21.55783077
,27.43,5.486,4.16,18.78335173,22.147272
,41.24,8.248,4.16,28.24008113,14.73083586
,26.28,5.256,4.16,17.9958616,23.11642584
,33.83,6.766,4.16,23.16590555,17.95742451
,27.756,5.5512,4.16,19.00658807,21.88714768
,26.955,5.391,4.16,18.45808407,22.5375504
,28.042,5.6084,4.16,19.20243344,21.66392094
,35.945,7.189,4.16,24.61420263,16.90081155
,30.807,6.1614,4.16,21.09583364,19.71953358
,25.935,5.187,4.16,17.75961455,23.42393179
,33.264,6.6528,4.16,22.77832344,18.26297712
,29.072,5.8144,4.16,19.9077507,20.89638384
,32.508,6.5016,4.16,22.26063428,18.68769752
,27.12,5.424,4.16,18.57107178,22.40043035
,25.935,5.187,4.16,17.75961455,23.42393179
,,,,,
,,,,,
COCO 30,28.18,8.454,4.16,20.89146046,19.91244226
,27.43,8.229,4.16,20.33544217,20.45689474
,41.24,12.372,4.16,30.57359224,13.60651365
,26.28,7.884,4.16,19.48288079,21.35207849
,33.83,10.149,4.16,25.08013155,16.58683485
,27.756,8.3268,4.16,20.57712478,20.21662425
,26.955,8.0865,4.16,19.98329725,20.81738538
